level,character,meaning,sound
3,澤,못,택
8,土 ,흙,토
4,討 ,칠,토
3,兔,토끼,토
3,吐,토할,토
6,通 ,통할,통
4,統 ,거느릴,통
4,痛 ,아플,통
4,退 ,물러날,퇴
4,投 ,던질,투
4,鬪 ,싸울,투
3,透,통할,투
6,特 ,특별할,특
4,波 ,물결,파
4,破 ,깨뜨릴,파
4,派 ,갈래,파
3,罷,파할,파
3,把,잡을,파
3,頗,자못/치우칠,파
3,播,뿌릴,파
2,坡,언덕,파
5,板 ,널빤지,판
4,判 ,판단할,판
3,版,판목,판
3,販,팔,판
2,阪,언덕,판
8,八 ,여덟,팔
5,敗 ,질,패
3,貝,조개,패
2,霸,으뜸,패
2,彭,성씨,팽
4,篇 ,책,편
3,編,엮을,편
3,片,조각,편
3,偏,치우칠,편
3,遍,두루,편
2,扁,작을,편
7,便 ,편할/똥오줌,편/변
7,平 ,평평할,평
4,評 ,평할,평
2,坪,들,평
4,閉 ,닫을,폐
3,廢,폐할,폐
3,弊,해질,폐
3,肺,허파,폐
3,蔽,덮을,폐
3,幣,비단,폐
4,砲 ,대포,포
4,包 ,쌀,포
4,胞 ,세포/여드름,포
3,浦,개,포
3,捕,잡을,포
3,飽,배부를,포
3,抱,안을,포
2,抛,던질,포
2,鮑,절인 물고기,포
2,葡,포도,포
2,怖,두려워할,포
2,鋪,펼/가게,포
4,布 ,펼/보시,포/보
4,爆 ,터질,폭
3,幅,폭,폭
4,暴 ,사나울,폭/포
6,表 ,겉,표
4,票 ,표,표
4,標 ,표할,표
3,漂,떠다닐,표
2,杓,북두자루,표
5,品 ,물건,품
6,風 ,바람,풍
4,豊 ,풍년,풍
3,楓,단풍,풍
2,馮,성씨,풍
4,避 ,피할,피
4,疲 ,피곤할,피
3,皮,가죽,피
3,被,입을,피
3,彼,저,피
5,必 ,반드시,필
5,筆 ,붓,필
3,畢,마칠,필
3,匹,짝,필
2,弼,도울,필
7,夏 ,여름,하
7,下 ,아래,하
5,河 ,물,하
3,荷,멜,하
3,何,어찌,하
3,賀,하례할,하
8,學 ,배울,학
3,鶴,학,학
2,虐,모질,학
8,韓 ,나라이름,한
7,漢 ,한나라,한
5,寒 ,찰,한
4,限 ,한계,한
4,閑 ,한가할,한
4,恨 ,한,한
3,汗,땀,한
3,旱,가물,한
2,翰,편지,한
3,割,벨,할
3,含,머금을,함
3,陷,빠질,함
3,咸,다,함
